trial_pos,bin,value
70,2,0.31573324244565926
70,3,0.21170802626458138
71,0,0.37554344148940805
71,1,0.0970152898003513
71,2,0.31573324244565926
71,3,0.21170802626458138
72,0,0.4149118336300008
72,1,0.0753815000722972
72,2,0.2869695614788058
72,3,0.2227371048188962
73,0,0.4149118336300008
73,1,0.0753815000722972
73,2,0.2869695614788058
73,3,0.2227371048188962
74,0,0.3730775395698144
74,1,0.1010010582202428
74,2,0.30015129761301285
74,3,0.22577010459692995
75,0,0.3958359725708112
75,1,0.10151570212689265
75,2,0.2832872614650887
75,3,0.21936106383720747
76,0,0.3684586114370565
76,1,0.11087451180562985
76,2,0.2755730869502326
76,3,0.24509378980708102
77,0,0.3684586114370565
77,1,0.11087451180562985
77,2,0.2755730869502326
77,3,0.24509378980708102
78,0,0.36696704751667625
78,1,0.0915532221234954
78,2,0.32539863578617617
78,3,0.21608109457365215
79,0,0.36696704751667625
79,1,0.0915532221234954
79,2,0.32539863578617617
79,3,0.21608109457365215
80,0,0.36696704751667625
80,1,0.0915532221234954
80,2,0.32539863578617617
80,3,0.21608109457365215
81,0,0.36696704751667625
81,1,0.0915532221234954
81,2,0.32539863578617617
81,3,0.21608109457365215
82,0,0.36696704751667625
82,1,0.0915532221234954
82,2,0.32539863578617617
82,3,0.21608109457365215
83,0,0.36696704751667625
83,1,0.0915532221234954
83,2,0.32539863578617617
83,3,0.21608109457365215
84,0,0.36696704751667625
84,1,0.0915532221234954
84,2,0.32539863578617617
84,3,0.21608109457365215
85,0,0.36696704751667625
85,1,0.0915532221234954
85,2,0.32539863578617617
85,3,0.21608109457365215
86,0,0.36696704751667625
86,1,0.0915532221234954
86,2,0.32539863578617617
86,3,0.21608109457365215
87,0,0.36696704751667625
87,1,0.0915532221234954
87,2,0.32539863578617617
87,3,0.21608109457365215
88,0,0.36696704751667625
88,1,0.0915532221234954
88,2,0.32539863578617617
88,3,0.21608109457365215
89,0,0.4220984443012823
89,1,0.09423378258001906
89,2,0.23098370447403258
89,3,0.252684068644666
90,0,0.3621154039618219
90,1,0.11903162878028917
90,2,0.2764409000789923
90,3,0.24241206717889666
91,0,0.366570017298549
91,1,0.10908570038141017
91,2,0.2963741939193009
91,3,0.22797008840073996
92,0,0.366570017298549
92,1,0.10908570038141017
92,2,0.2963741939193009
92,3,0.22797008840073996
93,0,0.366570017298549
93,1,0.10908570038141017
93,2,0.2963741939193009
93,3,0.22797008840073996
