age,cohort,model_prop_f,model_prop_m
15,1987.0,0.2595573440643863,0.027833001988071572
16,1987.0,0.39271255060728744,0.102
17,1987.0,0.5417515274949084,0.23092369477911648
18,1987.0,0.6339468302658486,0.33669354838709675
19,1987.0,0.7104722792607803,0.44646464646464645
20,1987.0,0.7690721649484537,0.573170731707317
21,1987.0,0.8215767634854771,0.6720977596741344
22,1987.0,0.8538622129436325,0.7469135802469136
23,1987.0,0.895397489539749,0.7739628040057225
24,1987.0,0.9264705882352942,0.0
25,1987.0,0.9620253164556962,0.0
26,1987.0,0.9638297872340426,0.0
27,1987.0,0.9700214132762313,0.0
28,1987.0,0.9827586206896551,0.0
29,1987.0,0.9869565217391304,0.0
30,1987.0,0.9934354485776805,0.0
12,1988.0,0.03824091778202677,0.001890359168241966
13,1988.0,0.08108108108108109,0.005703422053231939
14,1988.0,0.15087040618955513,0.02099236641221374
15,1988.0,0.22568093385214008,0.034482758620689655
16,1988.0,0.3424657534246575,0.11132437619961612
17,1988.0,0.5058823529411764,0.2548262548262548
18,1988.0,0.6141732283464567,0.37475728155339805
19,1988.0,0.6897233201581028,0.4853801169590643
20,1988.0,0.750996015936255,0.5772994129158513
21,1988.0,0.81,0.6699410609037328
22,1988.0,0.8591549295774648,0.7130681818181818
23,1988.0,0.896969696969697,0.0
24,1988.0,0.926829268292683,0.0
25,1988.0,0.9510204081632653,0.0
26,1988.0,0.9568788501026694,0.0
27,1988.0,0.9668737060041408,0.0
28,1988.0,0.9770833333333333,0.0
29,1988.0,0.9874476987447699,0.0
30,1988.0,0.9936440677966102,0.0
12,1989.0,0.04059040590405904,0.0018281535648994515
13,1989.0,0.07606679035250463,0.007312614259597806
14,1989.0,0.13594040968342644,0.020146520146520148
15,1989.0,0.20973782771535582,0.027675276752767528
16,1989.0,0.3609022556390977,0.09981515711645102
17,1989.0,0.500945179584121,0.23234200743494424
18,1989.0,0.6041666666666666,0.3376865671641791
19,1989.0,0.6812977099236641,0.43902439024390244
20,1989.0,0.7605363984674329,0.5433962264150943
21,1989.0,0.8053949903660886,0.6295774647887324
22,1989.0,0.8532818532818532,0.0
23,1989.0,0.8912621359223301,0.0
24,1989.0,0.921875,0.0
25,1989.0,0.937007874015748,0.0
26,1989.0,0.9604743083003953,0.0
27,1989.0,0.974155069582505,0.0
28,1989.0,0.9859437751004017,0.0
29,1989.0,0.9898785425101214,0.0
30,1989.0,0.9857142857142858,0.0
12,1990.0,0.04085257548845471,0.0
13,1990.0,0.08407871198568873,0.0035149384885764497
14,1990.0,0.15978456014362658,0.008818342151675485
15,1990.0,0.23783783783783785,0.028268551236749116
16,1990.0,0.34782608695652173,0.08687943262411348
17,1990.0,0.48363636363636364,0.22857142857142856
18,1990.0,0.572992700729927,0.36983842010771995
19,1990.0,0.6838235294117647,0.44223826714801445
20,1990.0,0.7619926199261993,0.5434173669467787
21,1990.0,0.8237476808905381,0.0
22,1990.0,0.875,0.0
23,1990.0,0.9158878504672897,0.0
24,1990.0,0.9358490566037736,0.0
25,1990.0,0.9582542694497154,0.0
26,1990.0,0.9618320610687023,0.0
27,1990.0,0.982725527831094,0.0
28,1990.0,0.9845261121856866,0.0
29,1990.0,0.990234375,0.0
30,1990.0,0.9960707269155207,0.0
12,1991.0,0.03466204506065858,0.0034071550255536627
13,1991.0,0.08885017421602788,0.003430531732418525
14,1991.0,0.16258741258741258,0.0068846815834767644
15,1991.0,0.2591943957968476,0.027586206896551724
16,1991.0,0.3844797178130511,0.08159722222222222
17,1991.0,0.5177304964539007,0.22822299651567945
18,1991.0,0.6285714285714286,0.3456140350877193
19,1991.0,0.7194244604316546,0.46013986013986014
20,1991.0,0.7855855855855856,0.0
21,1991.0,0.8264014466546112,0.0
22,1991.0,0.8745454545454545,0.0
23,1991.0,0.9174311926605505,0.0
24,1991.0,0.9337016574585635,0.0
25,1991.0,0.9482439926062847,0.0
26,1991.0,0.9589552238805971,0.0
27,1991.0,0.9793233082706767,0.0
28,1991.0,0.9886363636363636,0.0
29,1991.0,0.9942857142857143,0.0
30,1991.0,0.9942307692307693,0.0
12,1992.0,0.03220338983050847,0.0
13,1992.0,0.09897610921501707,0.008375209380234505
14,1992.0,0.1643835616438356,0.011764705882352941
15,1992.0,0.2547332185886403,0.030405405405405407
16,1992.0,0.3799654576856649,0.09847198641765705
17,1992.0,0.5277777777777778,0.24573378839590443
18,1992.0,0.6445993031358885,0.3616133518776078
